custom_position,city_vac,offer_education_id,operating_schedule_id,offer_experience_year_count,description,profession,salary
Коренщик (помощник повара) в Ресторан Отеля 4****,Сочи,,Полная занятость,Нет опыта,"требования:     наличие действующей медицинской книжки;   опыт работы приветствуется.     условия:     трудоустройство согласно тк рф;   выплаты з/п дважды в месяц;   достойная заработная плата: 180 руб./час (от 30 000 руб.);   график работы сменный 2/2;   иногородним бесплатное комфортное проживание в апартаментах в доме для персонала на второй береговой линии в шаговой доступности от рабочего места (санузел в апартаментах, кухня общая);   2-х разовое питание в рабочие смены;   широкие возможности для профессионального и карьерного роста.",повар,
Помощник повара (коренщица/коренщик),Санкт-Петербург,,Полная занятость,Нет опыта,"Компания ""СТРОГАНОВ ГРУПП""   Премиальный ресторан ""Русская Рюмочная 1"" находится в поиске ответственного помощника (-цы) повара в свою команду.   Обязанности:     мойка и очистка овощей, корнеплодов от кожуры   соблюдение санитарных и гигиенических норм     От Вас нам необходимы:     опрятный внешний вид   аккуратность   скорость выполнения работы   наличие медицинской книжки или готовность ее сделать     Мы предлагаем:     График работы 5/2 по 8 часов вс и пн выходные   бесплатное питание 3 раза за смену (вкусное и горячее)   выплаты ЗП без задержек 2 раза в месяц   дружный коллектив",повар,
Обрубщик металлических изделий (слесарь),Воронеж,,Полная занятость,Нет опыта,требования:     аккуратность   навыки работы инструментом     условия:     5/2 8:00-17:00   еженедельная оплата труда   возможна подработка во вторую смену и по субботам,слесарь,60000.0
Оператор (слесарь-наладчик) вязального оборудования (вязальщик),Оренбург,,Полная занятость,,"требования:   - желателен опыт работы на производственном оборудовании (кругловязальная машина hp-18) - желательно знание основ вязального производства, профильное образование приветствуется - внимательность, ответственность - опыт работы слесарем, оператором оборудования, механиком - обучаемость   условия: - непрерывное производство - график работы сменный 2/2",слесарь,
"Руководитель группы бухгалтерского учета
assistant",Москва,,Полная занятость,Более 3 лет,"требования: • опыт работы заместителем главного бухгалтера от 3-х лет. • знание осно и усно, 1с 8.3 (включая зарплата и управления персоналом); • отличное знание рсбу; • знание особенностей ведения бухгалтерского учета в организациях имеющих осп; • опыт практической работы в 1с 8.2, 8.3, 1с зуп, сбис, диадок, личный кабинет ифнс. • хорошее знание excel; • способность работать с большим объемом данных/аналитические способности; • ответственность, инициативность в рамках порученных задач, самостоятельность, энергичность, работоспособность, целеустремленность, обучаемость и стремление к развитию.  обязанности: • организация, развитие и поддержание бухгалтерии и отчетности в соответствии с требованиями бухгалтерского, статистического и налогового учетов; • ведение бухгалтерского, налогового учета по нескольким юр. лицам (осно, усно); • контроль всех участков бухгалтерского учета; • опыт работы с обособленными подразделениями (не выделенными); • разработка/доработка положений и инструкций по организации бухгалтерского учета, правила его ведения; • помощь главному бухгалтеру в составлении бухгалтерской и налоговой отчетности предприятий (одна организация – осн (более 100 осп), 4 организации – усн); • составление документов для открытия/закрытия осп; • курирование расходов по налогу на прибыль; • ведение книг доходов и расходов; • сверка с ифнс, пфр, фсс. • ведение основных средств, амортизации, ведение инвентаризации.  условия работы: территориально метро красносельская (7-10 мин.) или бауманская (5-7 мин.) график работы 5/2 с 10.00 до 19.00; оформление по тк рф.",бухгалтер,85000.0
Помощник бухгалтера (делопроизводитель),Москва,,Полная занятость,,"требования:        высшее (неоконченное высшее) образование (рассматриваем студентов вузов старших курсов профильных специальностей);       знание компьютера (ms office, google-таблицы и документы);       опыт работы с финансовым документооборотом, 1с и системами эдо как существенное преимущество;       личные качества - внимательность к деталям, аккуратность, скрупулезность, усидчивость, доброжелательность       мы предлагаем:     комфортный офис в москва-сити на 28 этаже башни «меркурий»   стабильную белую заработную плату   стандартную рабочую неделю пн-пт   подписка на книги бесплатно и легально   после успешного прохождения испытательного срока сотрудник включается в корпоративную систему льгот: дмс, фитнес, английский.   отсутствие дресс-кода   возможность влиять на процессы внутри компании",бухгалтер,
Наполнитель баллонов 4 разряда (оператор-кассир),Казань,,Полная занятость,,"требования:   образование начальное профессиональное опыт работы с кассовым аппаратом и платёжным терминалом; желателен опыт работы с 1с; доброжелательность, ответственность, аккуратность, клиентоориентированность.   условия:   до 15 рабочих смен в месяц, включая ночные смены ( длительность смены 12 часов). полностью официальное оформление в соответствии с трудовым законодательством рф, расширенный социальный пакет, включающий дмс; обучение по профессии (предоставляется работодателем);   рабочее место: проспект победы",кассир,
"Автомеханик / Автослесарь / Ученик автомеханика
assistant",Ростов-на-Дону,,Полная занятость,Более 1 года,"требования: • желательно профильное средне-специальное и/или высшее образование (для учеников - не критично) • опыт работы от 1 года • соискателям без опыта предлагаем обучение с целью овладения навыками ремонта легковых автомобилей и коммерческого транспорта • ответственность, аккуратность, пунктуальность  условия: • компания предлагает стабильную, достойную заработную плату.  • мы гарантируем всем сотрудникам оформление в соответствии с трудовым кодексом рф.  • для иногородних предоставим жилье.  • постоянный объем работы, высокая заработная плата.  • карьерный рост: мастер-приемщик, мастер ремонтной зоны, менеджер отдела запчастей.",слесарь,60000.0
Мясник - продавец (м. Крестовский остров),Санкт-Петербург,,Полная занятость,,"требования:     опыт работы   знание технологического процесса разделки (обвалки) мясного сырья   знание анатомического строения туши   аккуратность   пунктуальность   ответственность   грамотная речь, четкая дикция   коммуникабельность     условия:     график сменный по 12 часов   белая заработная плата   бесплатное питание во время рабочих смен   оформление, согласно тк рф   дисконтная карта (от 12% до 20%)   участие в корпоративных мероприятиях   медицинская книжка за счёт организации",продавец,
Старший повар (мясник),Уссурийск,,Полная занятость,,"требования:     знание санпин, умение читать ттк,   опыт работы в столовых с проходимостью от 200 человек,   опыт работы вахтовым методом приветствуется,   образование профильное, от среднего специального,     условия:     работа вахтовым методом в респ. саха якутия, пос. нижний куранах;   график работы 60/60 дней,  заработная плата указана за цикл вахты;   официальное трудоустройство;   социальные льготы и гарантии по тк рф;   заработная плата выплачивается своевременно, 2 раза в месяц;   бесплатное питание и проживание на территории работодателя;   проезд до места работы и обратно компенсируется работодателем;   спец. одежда предоставляется работодателем.",повар,
"Электрогазосварщик (от 4-го разряда, полуавтомат, авт, ручник)",Владимир,,Полная занятость,,требования:     от 3 разряда. наличие документа подтверждающего профессию (удостоверение или диплом). наличие записи в трудовой книжке.   прохождение службы безопасности   паспортные данные на с/б направляем мастеру.     условия:     вахта 60/30;   трудоустройство по тк рф;   график 6/1 по 11 час.(сменный);   оплата почасовая (230 р/ч)   жилье предоставляется бесплатно (квартиры)   бесплатная вахта до производства ;   выплаты каждые две недели;,сварщик,
"Электрогазосварщик (от 4-го разряда, полуавтомат, авт, ручник)",Рязань,,Полная занятость,,требования:     от 3 разряда. наличие документа подтверждающего профессию (удостоверение или диплом). наличие записи в трудовой книжке.   прохождение службы безопасности   паспортные данные на с/б направляем мастеру.     условия:     вахта 60/30;   трудоустройство по тк рф;   график 6/1 по 11 час.(сменный);   оплата почасовая (230 р/ч)   жилье предоставляется бесплатно (квартиры)   бесплатная вахта до производства ;   выплаты каждые две недели;,сварщик,
"Инженер-механик (слесарь, радиомонтажник)",Дубна,,Полная занятость,,"требования:     образование высшее или среднее профессиональное (техническое).   общие знания в области электротехники и электроники.   умение работать паяльником, слесарным и электроинструментом.   умение выполнять несложные работы на металлорежущих станках.   внимательность, аккуратность, ответственность.     условия:     работа в инновационной компании, являющейся резидентом фонда сколково",слесарь,102500.0
Электросварщик / судокорпусник,Коломна,,Полная занятость,,требования:       наличие действующих аттестационных удостоверений по соответствующему способу сварки       отсутствие медицинских противопоказаний к выполняемой работе       условия:     оформление по тк рф   социальный пакет   оплата проезда   оплата медицинской комиссии   проживание на территории предприятия   возможна работа по графику или вахтовым методом,сварщик,77500.0
Работник линии раздачи (повар-раздатчик),Воронеж,,Полная занятость,Нет опыта,"требования:     приветливость, коммуникабельность, доброжелательность, аккуратность, умение хорошо предлагать и продавать блюда   быстрое и качественное выполнение обязанностей   наличие мед. книжки     условия:     пятидневная рабочая неделя с 8.00 до 17.00 (выходные суббота, воскресенье)   социальный пакет, бесплатные завтрак и обед   заработная плата от 1200/смена",повар,
Работник линии раздачи (повар-раздатчик на ВГУ),Воронеж,,Полная занятость,Нет опыта,"требования:     внимательность, аккуратность, доброжелательность;   создание и продвижение положительного и позитивного имиджа кафе;     условия:     график 5/2 (выходные суббота, воскресенье)   оформление по тк рф;   питание и форма за счет компании;   внутрикорпоративное обучение;",повар,
Плотник-слесарь,Москва,,Полная занятость,,"Компания ""КРОК""   Ваши задачи:     ремонт и установка дверей, дверных замков, дверных коробок ;   слесарные работы по ремонту дверных замков, доводчиков и мебельной фурнитуры;   ремонт и сборка мебели;   проведение ремонтных, регламентных и планово-профилактических работ.     Наши ожидания:     наличие аналогичного опыта работы от года;   опытный пользователь ПК.     Мы предлагаем:     заработная плата по результатам собеседования + премии по итогам работы;   график работы: 5/2;   профессиональное обучение и сертификация за счёт компании;   ДМС с полным пакетом медицинских услуг;   изучение английского языка в очном и дистанционном форматах с компенсацией от компании;   тренажёрный зал в офисе и спортивные программы с компенсацией от компании;   бесплатное питание в офисе;   современный офис, парковка для всех сотрудников.",слесарь,
Учетчик по персоналу (Проект ГЫДАН),Новый Уренгой,,Полная занятость,,"Компания ""Велесстрой""   ВЕЛЕССТРОЙ ПРИГЛАШАЕТ В СВОЮ КОМАНДУ УЧЕТЧИКА   ЗАДАЧИ:     Ведение табеля учета рабочего времени   Ведение учета движение персонала по объектам   Согласование межвахтовых и ежегодных отпусков сотрудников, отслеживая взаимозаменяемость   Заказы билетов     Оформление, отслеживание и контроль прибытия новых сотрудников на объекты.       НАШ ПОРТРЕТ ИДЕАЛЬНОГО КАНДИДАТА:     опыт работы учетчиком или в отделе кадров;   знание программы 1С, Excel;   опыт работы в строительстве.     МЫ ПРЕДЛАГАЕМ:     вахтовый метод работы 2/1 на проекте строительства   работу на крупных строительных объектах нефтегазового комплекса на объектах компании;   оформление согласно ТК РФ;   оплачиваемый проезд/перелет до места работы и на межвахтовый отдых;   организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте;   трехразовое питание в столовой;   корпоративную мобильную связь, если это будет предусмотрено Вашим функционалом   работа вахтовым методом на территории работодателя",персонал,67500.0
Учетчик по персоналу (Проект ГЫДАН),Омск,,Полная занятость,,"Компания ""Велесстрой""   ВЕЛЕССТРОЙ ПРИГЛАШАЕТ В СВОЮ КОМАНДУ УЧЕТЧИКА   ЗАДАЧИ:     Ведение табеля учета рабочего времени   Ведение учета движение персонала по объектам   Согласование межвахтовых и ежегодных отпусков сотрудников, отслеживая взаимозаменяемость   Заказы билетов     Оформление, отслеживание и контроль прибытия новых сотрудников на объекты.       НАШ ПОРТРЕТ ИДЕАЛЬНОГО КАНДИДАТА:     опыт работы учетчиком или в отделе кадров;   знание программы 1С, Excel;   опыт работы в строительстве.     МЫ ПРЕДЛАГАЕМ:     вахтовый метод работы 2/1 на проекте строительства   работу на крупных строительных объектах нефтегазового комплекса на объектах компании;   оформление согласно ТК РФ;   оплачиваемый проезд/перелет до места работы и на межвахтовый отдых;   организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте;   трехразовое питание в столовой;   корпоративную мобильную связь, если это будет предусмотрено Вашим функционалом   работа вахтовым методом на территории работодателя",персонал,67500.0
Учетчик по персоналу (Проект ГЫДАН),Тюмень,,Полная занятость,,"Компания ""Велесстрой""   ВЕЛЕССТРОЙ ПРИГЛАШАЕТ В СВОЮ КОМАНДУ УЧЕТЧИКА   ЗАДАЧИ:     Ведение табеля учета рабочего времени   Ведение учета движение персонала по объектам   Согласование межвахтовых и ежегодных отпусков сотрудников, отслеживая взаимозаменяемость   Заказы билетов     Оформление, отслеживание и контроль прибытия новых сотрудников на объекты.       НАШ ПОРТРЕТ ИДЕАЛЬНОГО КАНДИДАТА:     опыт работы учетчиком или в отделе кадров;   знание программы 1С, Excel;   опыт работы в строительстве.     МЫ ПРЕДЛАГАЕМ:     вахтовый метод работы 2/1 на проекте строительства   работу на крупных строительных объектах нефтегазового комплекса на объектах компании;   оформление согласно ТК РФ;   оплачиваемый проезд/перелет до места работы и на межвахтовый отдых;   организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте;   трехразовое питание в столовой;   корпоративную мобильную связь, если это будет предусмотрено Вашим функционалом   работа вахтовым методом на территории работодателя",персонал,67500.0
Учетчик по персоналу (Проект ГЫДАН),Челябинск,,Полная занятость,,"Компания ""Велесстрой""   ВЕЛЕССТРОЙ ПРИГЛАШАЕТ В СВОЮ КОМАНДУ УЧЕТЧИКА   ЗАДАЧИ:     Ведение табеля учета рабочего времени   Ведение учета движение персонала по объектам   Согласование межвахтовых и ежегодных отпусков сотрудников, отслеживая взаимозаменяемость   Заказы билетов     Оформление, отслеживание и контроль прибытия новых сотрудников на объекты.       НАШ ПОРТРЕТ ИДЕАЛЬНОГО КАНДИДАТА:     опыт работы учетчиком или в отделе кадров;   знание программы 1С, Excel;   опыт работы в строительстве.     МЫ ПРЕДЛАГАЕМ:     вахтовый метод работы 2/1 на проекте строительства   работу на крупных строительных объектах нефтегазового комплекса на объектах компании;   оформление согласно ТК РФ;   оплачиваемый проезд/перелет до места работы и на межвахтовый отдых;   организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте;   трехразовое питание в столовой;   корпоративную мобильную связь, если это будет предусмотрено Вашим функционалом   работа вахтовым методом на территории работодателя",персонал,67500.0
Учетчик по персоналу (Проект ГЫДАН),Пермь,,Полная занятость,,"Компания ""Велесстрой""   ВЕЛЕССТРОЙ ПРИГЛАШАЕТ В СВОЮ КОМАНДУ УЧЕТЧИКА   ЗАДАЧИ:     Ведение табеля учета рабочего времени   Ведение учета движение персонала по объектам   Согласование межвахтовых и ежегодных отпусков сотрудников, отслеживая взаимозаменяемость   Заказы билетов     Оформление, отслеживание и контроль прибытия новых сотрудников на объекты.       НАШ ПОРТРЕТ ИДЕАЛЬНОГО КАНДИДАТА:     опыт работы учетчиком или в отделе кадров;   знание программы 1С, Excel;   опыт работы в строительстве.     МЫ ПРЕДЛАГАЕМ:     вахтовый метод работы 2/1 на проекте строительства   работу на крупных строительных объектах нефтегазового комплекса на объектах компании;   оформление согласно ТК РФ;   оплачиваемый проезд/перелет до места работы и на межвахтовый отдых;   организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте;   трехразовое питание в столовой;   корпоративную мобильную связь, если это будет предусмотрено Вашим функционалом   работа вахтовым методом на территории работодателя",персонал,67500.0
Учетчик по персоналу (Проект ГЫДАН),Екатеринбург,,Полная занятость,,"Компания ""Велесстрой""   ВЕЛЕССТРОЙ ПРИГЛАШАЕТ В СВОЮ КОМАНДУ УЧЕТЧИКА   ЗАДАЧИ:     Ведение табеля учета рабочего времени   Ведение учета движение персонала по объектам   Согласование межвахтовых и ежегодных отпусков сотрудников, отслеживая взаимозаменяемость   Заказы билетов     Оформление, отслеживание и контроль прибытия новых сотрудников на объекты.       НАШ ПОРТРЕТ ИДЕАЛЬНОГО КАНДИДАТА:     опыт работы учетчиком или в отделе кадров;   знание программы 1С, Excel;   опыт работы в строительстве.     МЫ ПРЕДЛАГАЕМ:     вахтовый метод работы 2/1 на проекте строительства   работу на крупных строительных объектах нефтегазового комплекса на объектах компании;   оформление согласно ТК РФ;   оплачиваемый проезд/перелет до места работы и на межвахтовый отдых;   организованное проживание в вахтовом городке на объекте или в ближайшем населенном пункте;   трехразовое питание в столовой;   корпоративную мобильную связь, если это будет предусмотрено Вашим функционалом   работа вахтовым методом на территории работодателя",персонал,67500.0
Автослесарь - агрегатчик,Набережные Челны,,Полная занятость,,"требования :     опыт работы по ремонту агрегатов коммерческого транспорта.         условия :     трудоустройство согласно тк, гарантия социальных льгот,   бесплатный обед в столовой,   возможность профессионального роста.     благодарим вас за интерес‚ проявленный к нашей компании. стандартный срок рассмотрения резюме - 14 дней отсутствие ответа в течение двух недель означает‚ что‚ к сожалению‚ на сегодня у нас нет подходящих вакансий.   при этом ваше резюме будет сохранено в нашей базе данных и если подходящая вакансия появится в последующем‚ мы предложим ее вам для рассмотрения.   если ваш опыт работы и пожелания соответствуют требованиям и возможностям компании - мы свяжемся с вами по указанным контактам в течение двух недель.",слесарь,42500.0
Автослесарь Агрегатчик по ремонту грузовых автомобилей,Краснодар,,Полная занятость,,"требования :     знание моторного и агрегатного ремонта (двс, кпп, редуктора)     условия :     стабильная заработная плата   хорошие условия труда (спецодежда, душевая, оплачиваемый отпуск 28 календарных дней)   оклад + 40% от выработки",слесарь,70000.0
